date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:33	69597/69597	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2006:58:40%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html	(from )
22:57:34	1897/1897	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Aug%202022%2021:57:37%20GMT	https://demos.creative-tim.com/robots.txt		(from )
22:57:35	389/389	---M--	200	added ('OK')	image/png	etag:%22629da5a0-329%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/apple-icon.png	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:36	389/389	---M--	200	added ('OK')	image/png	etag:%22629da5a0-329%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/favicon.png	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:36	15756/15756	---M--	200	added ('OK')	image/jpeg	etag:%226bb7d038bfacfef67e2f87b241fb1ed7%22	https://s3.amazonaws.com/creativetim_bucket/products/487/thumb/opt_sdp_thumbnail.jpg	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/s3.amazonaws.com/creativetim_bucket/products/487/thumb/opt_sdp_thumbnail.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:36	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%22629da5a0-2337%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-icons.css	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:37	1113/1113	---MCZ	200	added ('OK')	text/css	etag:W/%22629da5a0-8cd%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-svg.css	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:37	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2028%20Aug%202022%2021:57:41%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:37	502159/502159	---M-Z	200	added ('OK')	text/css	etag:W/%22629da5a0-7a98f%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/soft-ui-dashboard.min.css?v=1.0.9	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/soft-ui-dashboard.min21cd.css	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:38	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2028%20Aug%202022%2021:57:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:38	16940/16940	---M--	200	added ('OK')	image/jpeg	etag:%22629da5a0-422c%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/team-2.jpg	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/team-2.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
22:57:41	3312/3312	---M--	200	added ('OK')	image/png	etag:%22629da5a0-1b2c%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/logo-ct-dark.png	C:/Users/haifa/Desktop/project%20management%20app/virtualDashboard/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/logo-ct-dark.png	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html)
